motion_name,audio_file,motion_frames,source_audio_seconds,motion_seconds,output_audio_seconds,stretch_ratio
case_test1,01.wav,397,8.776875,7.94,7.94,0.9046500035604927
case_test10,10.wav,957,19.018833333333333,19.14,19.14,1.0063708779893614
case_test11,11.wav,211,2.8770416666666665,4.22,4.22,1.4667844574143
case_test12,12.wav,211,6.233875,4.22,4.22,0.6769465220268291
case_test13,13.wav,397,8.069666666666667,7.94,7.94,0.9839315956875543
case_test14,14.wav,397,9.268333333333333,7.94,7.94,0.8566804531559074
case_test15,15.wav,771,16.461125,15.42,15.42,0.9367525002088254
case_test2,02.wav,211,5.914166666666667,4.22,4.22,0.7135409327885022
case_test3,03.wav,584,12.385041666666666,11.68,11.68,0.9430731292116499
case_test4,04.wav,771,16.620958333333334,15.42,15.42,0.9277443388492942
case_test5,05.wav,397,10.946541666666667,7.94,7.94,0.725343240064404
case_test6,06.wav,397,8.948666666666666,7.94,7.94,0.8872830216792075
case_test7,07.wav,771,17.260375,15.42,15.42,0.8933757232968577
case_test8,08.wav,211,3.67625,4.22,4.22,1.147908874532472
case_test9,09.wav,584,14.223208333333334,11.68,11.68,0.8211930618091909
